2025-09-22 17:32:31,971 INFO    StreamThr :22202 [internal.py:wandb_internal():86] W&B internal server running at pid: 22202, started at: 2025-09-22 17:32:31.968446
2025-09-22 17:32:31,974 DEBUG   HandlerThread:22202 [handler.py:handle_request():146] handle_request: status
2025-09-22 17:32:32,135 INFO    WriterThread:22202 [datastore.py:open_for_write():87] open: /app/lesson-2-data-exploration-and-preparation/exercises/exercise_4/starter/wandb/run-20250922_173231-2wb13zck/run-2wb13zck.wandb
2025-09-22 17:32:32,139 DEBUG   SenderThread:22202 [sender.py:send():378] send: header
2025-09-22 17:32:32,364 DEBUG   SenderThread:22202 [sender.py:send():378] send: run
2025-09-22 17:32:32,717 INFO    SenderThread:22202 [dir_watcher.py:__init__():211] watching files in: /app/lesson-2-data-exploration-and-preparation/exercises/exercise_4/starter/wandb/run-20250922_173231-2wb13zck/files
2025-09-22 17:32:32,718 INFO    SenderThread:22202 [sender.py:_start_run_threads():1099] run started: 2wb13zck with start time 1758562351.970766
2025-09-22 17:32:32,743 DEBUG   HandlerThread:22202 [handler.py:handle_request():146] handle_request: check_version
2025-09-22 17:32:32,744 DEBUG   SenderThread:22202 [sender.py:send_request():405] send_request: check_version
2025-09-22 17:32:32,960 DEBUG   HandlerThread:22202 [handler.py:handle_request():146] handle_request: run_start
2025-09-22 17:32:32,963 DEBUG   HandlerThread:22202 [system_info.py:__init__():26] System info init
2025-09-22 17:32:32,964 DEBUG   HandlerThread:22202 [system_info.py:__init__():41] System info init done
2025-09-22 17:32:32,964 INFO    HandlerThread:22202 [system_monitor.py:start():194] Starting system monitor
2025-09-22 17:32:32,965 INFO    SystemMonitor:22202 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-09-22 17:32:32,965 INFO    HandlerThread:22202 [system_monitor.py:probe():214] Collecting system info
2025-09-22 17:32:32,966 INFO    SystemMonitor:22202 [interfaces.py:start():190] Started cpu monitoring
2025-09-22 17:32:32,968 INFO    SystemMonitor:22202 [interfaces.py:start():190] Started disk monitoring
2025-09-22 17:32:32,970 INFO    SystemMonitor:22202 [interfaces.py:start():190] Started memory monitoring
2025-09-22 17:32:32,972 INFO    SystemMonitor:22202 [interfaces.py:start():190] Started network monitoring
2025-09-22 17:32:32,985 DEBUG   HandlerThread:22202 [system_info.py:probe():150] Probing system
2025-09-22 17:32:33,020 DEBUG   HandlerThread:22202 [system_info.py:_probe_git():135] Probing git
2025-09-22 17:32:33,195 DEBUG   HandlerThread:22202 [system_info.py:_probe_git():143] Probing git done
2025-09-22 17:32:33,195 DEBUG   HandlerThread:22202 [system_info.py:probe():198] Probing system done
